id,CVE,CVSS
723,CVE-2017-0081,7.8
724,CVE-2017-0096,2.6
725,CVE-2017-0097,5.4
726,CVE-2017-0098,5.4
727,CVE-2017-0099,5.4
728,CVE-2017-0100,7.8
729,CVE-2017-0101,7.8
730,CVE-2017-0102,7.8
731,CVE-2017-0109,7.6
732,CVE-2017-0143,8.1
733,CVE-2017-0144,8.1
734,CVE-2017-0145,8.1
735,CVE-2017-0146,8.1
736,CVE-2017-0147,5.9
737,CVE-2017-0148,8.1
738,CVE-2017-0155,7.0
739,CVE-2017-0192,4.3
740,CVE-2017-0371,7.5
741,CVE-2017-10004,6.7
742,CVE-2017-10974,7.5
743,CVE-2017-11103,8.1
744,CVE-2017-11132,7.5
745,CVE-2017-11344,7.8
746,CVE-2017-11495,9.8
747,CVE-2017-11564,8.8
748,CVE-2017-12319,5.9
749,CVE-2017-12574,9.8
750,CVE-2017-12581,8.1
751,CVE-2017-12596,7.8
752,CVE-2017-12725,5.6
753,CVE-2017-12836,7.5
754,CVE-2017-13776,6.5
755,CVE-2017-13777,6.5
756,CVE-2017-13999,9.8
757,CVE-2017-14012,4.6
758,CVE-2017-14014,4.6
759,CVE-2017-14315,7.5
760,CVE-2017-14507,9.8
761,CVE-2017-14604,6.5
762,CVE-2017-14685,7.8
763,CVE-2017-14686,7.8
764,CVE-2017-14687,7.8
765,CVE-2017-14729,7.8
766,CVE-2017-14735,6.1
767,CVE-2017-14943,7.5
768,CVE-2017-14994,6.5
769,CVE-2017-1500,6.1
770,CVE-2017-15012,8.8
771,CVE-2017-15272,5.3
772,CVE-2017-15298,5.5
773,CVE-2017-15302,7.8
774,CVE-2017-15377,7.5
775,CVE-2017-15686,6.1
776,CVE-2017-15936,5.4
777,CVE-2017-16151,9.8
778,CVE-2017-16241,7.5
779,CVE-2017-16352,8.8
780,CVE-2017-16353,6.5
781,CVE-2017-16893,6.5
782,CVE-2017-16959,6.5
783,CVE-2017-17023,8.1
784,CVE-2017-17058,7.5
785,CVE-2017-17098,9.8
786,CVE-2017-17518,8.8
787,CVE-2017-17746,6.8
788,CVE-2017-18212,9.8
789,CVE-2017-18359,7.5
790,CVE-2017-18379,9.8
